doc_id,source_url,error,timestamp_utc
WDU19740240141,https://api.sejm.gov.pl/eli/acts/DU/1974/24/text.pdf,Failed after 1 attempts: https://api.sejm.gov.pl/eli/acts/DU/1974/24/text.pdf (<urlopen error Tunnel connection failed: 403 Forbidden>),2026-04-25T09:14:31.624543+00:00
WDU19910800350,https://api.sejm.gov.pl/eli/acts/DU/1991/80/text.pdf,Failed after 1 attempts: https://api.sejm.gov.pl/eli/acts/DU/1991/80/text.pdf (<urlopen error Tunnel connection failed: 403 Forbidden>),2026-04-25T09:14:31.635249+00:00
WDU19981440930,https://api.sejm.gov.pl/eli/acts/DU/1998/144/text.pdf,Failed after 1 attempts: https://api.sejm.gov.pl/eli/acts/DU/1998/144/text.pdf (<urlopen error Tunnel connection failed: 403 Forbidden>),2026-04-25T09:14:31.643407+00:00
WDU20040540535,https://api.sejm.gov.pl/eli/acts/DU/2004/54/text.pdf,Failed after 1 attempts: https://api.sejm.gov.pl/eli/acts/DU/2004/54/text.pdf (<urlopen error Tunnel connection failed: 403 Forbidden>),2026-04-25T09:14:32.047821+00:00
WDU20180000646,https://api.sejm.gov.pl/eli/acts/DU/2018/646/text.pdf,Failed after 1 attempts: https://api.sejm.gov.pl/eli/acts/DU/2018/646/text.pdf (<urlopen error Tunnel connection failed: 403 Forbidden>),2026-04-25T09:14:32.191258+00:00
WDU19981370887,https://api.sejm.gov.pl/eli/acts/DU/1998/137/text.pdf,Failed after 1 attempts: https://api.sejm.gov.pl/eli/acts/DU/1998/137/text.pdf (<urlopen error Tunnel connection failed: 403 Forbidden>),2026-04-25T09:14:32.201802+00:00
WDU20180001000,https://api.sejm.gov.pl/eli/acts/DU/2018/1000/text.pdf,Failed after 1 attempts: https://api.sejm.gov.pl/eli/acts/DU/2018/1000/text.pdf (<urlopen error Tunnel connection failed: 403 Forbidden>),2026-04-25T09:14:32.342867+00:00
CELEX_02016R0679_20160504,https://eur-lex.europa.eu/legal-content/PL/TXT/PDF/?uri=CELEX:02016R0679-20160504,Failed after 1 attempts: https://eur-lex.europa.eu/legal-content/PL/TXT/PDF/?uri=CELEX:02016R0679-20160504 (<urlopen error Tunnel connection failed: 403 Forbidden>),2026-04-25T09:14:32.506006+00:00
